fileName;Grupos;ShortName;Colors
GSM1134026.CEL;Xm;01_Xm;red
GSM1134027.CEL;Xm;02_Xm;red
GSM1134028.CEL;Xm;03_Xm;red
GSM1134029.CEL;Xm;04_Xm;red
GSM1134030.CEL;Xm;05_Xm;red
GSM1134031.CEL;Xm;06_Xm;red
GSM1134033.CEL;Xm;08_Xm;red
GSM1134034.CEL;Xm;09_Xm;red
GSM1134035.CEL;Xm;10_Xm;red
GSM1134036.CEL;Xm;11_Xm;red
GSM1134037.CEL;Xm;12_Xm;red
GSM1134038.CEL;Xm;13_Xm;red
GSM1134039.CEL;Xm;14_Xm;red
GSM1134040.CEL;Xm;15_Xm;red
GSM1134041.CEL;Xm;16_Xm;red
GSM1134042.CEL;Xp;17_Xp;blue
GSM1134043.CEL;Xp;18_Xp;blue
GSM1134044.CEL;Xp;19_Xp;blue
GSM1134045.CEL;Xp;20_Xp;blue
GSM1134046.CEL;Xp;21_Xp;blue
GSM1134047.CEL;Xp;22_Xp;blue
GSM1134048.CEL;Xp;23_Xp;blue
GSM1134049.CEL;Xp;24_Xp;blue
GSM1134050.CEL;Xp;25_Xp;blue
GSM1134051.CEL;Xp;26_Xp;blue
